id,first_name,last_name,email,address,tax_number,donation_date,donation_amount,donation_recipient
1,Francois,Tipple,ftipple0@dot.gov,666 Merry Court,12-470-1980,03/11/24,"$35,479.57 ",Tagtune
2,Andrej,Keesman,akeesman1@jugem.jp,458 Vera Park,98-151-6244,2/29/2024,"$45,623.82 ",Wikibox
3,Elysee,Weathers,eweathers2@seattletimes.com,03381 Westridge Point,41-540-2482,02/10/24,"$12,792.70 ",Roombo
4,Casar,Tylor,ctylor3@aol.com,6 Talisman Plaza,02-311-5013,2/13/2024,"$93,653.64 ",Trudoo
5,Jolee,Croxley,jcroxley4@msn.com,463 Hanover Trail,67-602-6116,1/22/2024,"$6,841.96 ",Yakitri
6,Elsie,Johnigan,ejohnigan5@bluehost.com,911 Gulseth Junction,16-062-2816,01/10/24,"$71,616.61 ",Tagfeed
7,Sherye,Dumbrall,sdumbrall6@samsung.com,871 Northwestern Trail,51-373-5457,1/16/2024,"$7,889.29 ",Podcat
8,Kizzee,Climance,kclimance7@vistaprint.com,5 Kipling Plaza,94-351-2513,02/09/24,"$44,568.14 ",Kwimbee
9,Estevan,Cossum,ecossum8@npr.org,35579 Utah Parkway,12-989-2070,1/13/2024,"$1,987.32 ",Minyx
10,Wiley,Grout,wgrout9@engadget.com,7215 Northwestern Street,49-045-6576,03/05/24,"$28,971.43 ",Ntags
11,Cele,Beetles,cbeetlesa@diigo.com,287 American Point,02-624-8219,2/19/2024,"$29,657.97 ",Thoughtstorm
12,Cchaddie,Mccaull,cmccaullb@mysql.com,23223 Acker Way,86-071-0783,2/18/2024,"$24,589.53 ",Devpulse
13,Isabeau,Ferson,ifersonc@1688.com,18 Westend Way,35-202-6569,2/17/2024,"$64,584.21 ",Kaymbo
14,Halimeda,Ludee,hludeed@example.com,3570 Tennessee Road,65-293-0503,01/02/24,"$66,543.31 ",Jabbersphere
15,Dominique,Miller,dmillere@guardian.co.uk,1 Lukken Road,08-658-3707,1/20/2024,"$57,437.27 ",Gigabox
16,Luce,Steutly,lsteutlyf@wikimedia.org,18 Dottie Plaza,84-046-2581,03/02/24,"$90,273.73 ",Meemm
17,Alma,Fidoe,afidoeg@marketwatch.com,1621 Haas Junction,41-007-3483,02/06/24,"$96,067.45 ",Gigazoom
18,Rivi,Fritche,rfritcheh@vimeo.com,1482 Harper Alley,89-204-5709,03/09/24,"$10,717.04 ",Dabvine
19,Rhodia,Sinkinson,rsinkinsoni@networksolutions.com,97 International Circle,19-029-7779,1/16/2024,"$81,930.18 ",Skilith
20,Pearline,Merrgan,pmerrganj@hostgator.com,3396 Mifflin Way,46-268-6183,2/24/2024,"$79,368.06 ",Realcube
21,Kerrin,Petraitis,kpetraitisk@unc.edu,41276 Corry Plaza,83-730-6995,1/20/2024,"$66,025.29 ",Gabvine
22,Anselm,Matthews,amatthewsl@zdnet.com,93 Sutherland Court,81-953-6975,03/11/24,"$23,348.22 ",Pixoboo
23,Irma,Bartelli,ibartellim@addtoany.com,2107 Walton Drive,43-018-7930,1/27/2024,"$49,988.71 ",Skyble
24,Jillayne,Robers,jrobersn@umich.edu,7 Weeping Birch Street,26-334-2208,2/20/2024,"$85,435.17 ",Babbleblab
25,Kennan,Crowd,kcrowdo@psu.edu,41854 Morrow Pass,25-305-7070,02/09/24,"$18,967.98 ",Shuffletag
26,Lindi,Netti,lnettip@studiopress.com,3 Tennessee Circle,37-774-0473,2/28/2024,"$25,578.91 ",Thoughtsphere
27,Dierdre,Davidovsky,ddavidovskyq@taobao.com,0734 Johnson Alley,88-586-6894,1/24/2024,"$29,102.20 ",Centimia
28,Heindrick,O'Dreain,hodreainr@yahoo.com,38814 Jay Parkway,16-562-0301,02/02/24,"$72,971.81 ",Snaptags
29,Korie,Pinnegar,kpinnegars@wisc.edu,374 Lindbergh Crossing,27-614-2099,03/07/24,"$22,826.51 ",Leenti
30,Lola,Grunder,lgrundert@ibm.com,33 Mosinee Way,07-693-7263,1/14/2024,"$29,249.03 ",Dynava
31,Adrian,Farfull,afarfullu@google.ca,8 Gulseth Road,02-670-9852,01/12/24,"$28,529.95 ",Buzzster
32,Fitzgerald,Gluyus,fgluyusv@scientificamerican.com,6276 8th Park,61-669-2938,2/19/2024,"$41,588.80 ",Twitterworks
33,Courtenay,Corrigan,ccorriganw@odnoklassniki.ru,845 Kedzie Point,17-424-8027,01/07/24,"$86,203.35 ",Shufflester
34,Rog,Harg,rhargx@nsw.gov.au,92911 Manitowish Way,27-094-2995,03/02/24,"$45,405.98 ",DabZ
35,Ginnifer,Tromans,gtromansy@homestead.com,75885 Mitchell Avenue,65-136-1808,1/16/2024,"$87,208.68 ",Meezzy
36,Stephani,Aizic,saizicz@ovh.net,21 Scofield Terrace,78-973-7607,2/28/2024,"$96,123.42 ",Eire
37,Pia,McCowen,pmccowen10@myspace.com,3151 Dovetail Terrace,20-964-3921,02/10/24,"$68,952.39 ",Izio
38,Sylvan,McClosh,smcclosh11@friendfeed.com,50 Melrose Place,48-951-2990,2/25/2024,"$81,212.47 ",Photobean
39,Locke,McIlmurray,lmcilmurray12@cocolog-nifty.com,20 Eagan Trail,09-692-0422,01/02/24,"$34,376.62 ",Yodoo
40,Isis,Galbreath,igalbreath13@booking.com,0142 Eggendart Center,32-437-5462,02/01/24,"$58,107.25 ",Tagtune
41,Sigismundo,McGilvary,smcgilvary14@epa.gov,40 Moulton Way,41-723-9645,01/08/24,"$61,457.95 ",Wikibox
42,Dosi,Sugden,dsugden15@domainmarket.com,6 South Crossing,53-345-5641,1/16/2024,"$47,993.04 ",Roombo
43,Rozamond,Rahl,rrahl16@gravatar.com,10 Hanson Crossing,14-924-7201,2/13/2024,"$67,287.47 ",Trudoo
44,Heywood,Bowne,hbowne17@time.com,1113 Ramsey Way,21-702-9314,2/26/2024,"$75,104.49 ",Yakitri
45,Ferdie,Ennor,fennor18@privacy.gov.au,768 Michigan Lane,56-983-9337,1/13/2024,"$37,999.04 ",Tagfeed
46,Sally,Forseith,sforseith19@amazon.co.uk,5432 Hoard Lane,45-403-2392,2/24/2024,"$54,403.44 ",Podcat
47,Larina,Francisco,lfrancisco1a@webmd.com,09073 Rowland Place,84-256-1958,03/08/24,"$96,096.64 ",Kwimbee
48,Prue,Southern,psouthern1b@list-manage.com,09816 Division Crossing,57-287-8848,01/07/24,"$48,877.44 ",Minyx
49,Pauly,Rosgen,prosgen1c@harvard.edu,07 Becker Place,67-182-0516,01/08/24,"$5,749.59 ",Ntags
50,Henriette,Menlove,hmenlove1d@ihg.com,49859 Ryan Trail,49-487-9003,1/16/2024,"$23,980.39 ",Thoughtstorm
51,Cullan,Splevin,csplevin1e@amazon.com,1 Dennis Lane,38-210-5419,1/30/2024,"$6,012.33 ",Devpulse
52,Ann,Loosemore,aloosemore1f@histats.com,4114 Arapahoe Alley,49-488-5433,02/06/24,"$19,098.01 ",Kaymbo
53,Park,Senescall,psenescall1g@mail.ru,19553 Clove Place,52-583-3197,2/16/2024,"$38,187.01 ",Jabbersphere
